Geneid	AN14028316	AN14028318	AN14028320	AN14028322	AN14028324	AN14028326	AN14028328	AN14028330
WNT6	26	29	0	0	1	8	0	2
WNT10A	420	341	42	65	4	4	23	33
LINC01494	0	2	0	4	0	0	0	2
CDK5R2	3	2	0	0	0	0	0	2
LINC00608	0	0	0	0	0	0	0	0
FEV	0	0	0	0	0	0	0	0
CRYBA2	0	0	0	0	0	0	0	0
MIR375	0	0	0	0	0	0	0	0
LOC100129175	0	0	0	0	0	0	0	0
CFAP65	0	0	0	0	0	0	0	0
IHH	0	0	0	0	0	0	0	0
MIR3131	0	0	0	0	0	0	0	0
NHEJ1	281	330	221	201	236	177	89	150
SLC23A3	46	37	9	19	22	17	7	13
CNPPD1	1366	1446	873	958	715	489	523	706
RETREG2	2076	2502	1361	1485	1645	1174	814	991
ZFAND2B	564	663	356	404	254	221	236	316
ABCB6	231	239	271	262	154	128	216	239
ATG9A	1083	1164	958	865	669	411	580	713
ANKZF1	909	1070	798	1009	555	416	615	646
GLB1L	102	99	99	94	190	135	57	95
STK16	461	597	349	335	340	203	214	216
TUBA4A	5769	6911	3449	3875	856	536	624	800
TUBA4B	15	9	4	5	0	1	2	0
DNAJB2	1340	1363	482	507	588	393	287	466
PTPRN	11	6	0	0	0	0	0	0
MIR153-1	0	0	0	0	0	0	0	0
RESP18	0	0	0	0	0	0	0	0
DNPEP	1162	1173	606	669	326	192	284	313
DES	2	4	0	1	2	2	0	2
SPEG	350	303	147	140	112	75	57	104
SPEGNB	0	1	0	0	0	0	1	0
GMPPA	884	873	730	699	491	352	444	491
ASIC4	0	2	2	0	0	0	0	0
CHPF	1107	694	191	216	190	101	82	119
TMEM198	63	88	16	22	21	9	10	11
MIR3132	0	0	0	1	0	0	1	0
OBSL1	967	800	291	315	490	311	269	394
INHA	12	8	6	4	9	1	16	13
STK11IP	538	427	230	247	126	97	79	126
SLC4A3	279	194	51	42	79	44	35	23
LINC01803	0	0	0	0	0	0	0	0
MIR4268	0	0	0	0	0	0	0	0
EPHA4	12	27	101	90	493	391	135	141
PAX3	0	0	1	1	6	8	2	0
CCDC140	0	0	0	0	0	0	0	0
CT75	10	11	4	12	35	29	6	9
SGPP2	389	501	811	904	967	842	444	502
FARSB	2568	3536	4097	4755	2204	1856	3152	3608
MOGAT1	0	0	0	0	4	0	0	2
ACSL3	1886	2688	3378	4198	4527	4011	4253	4545
KCNE4	0	6	4	0	0	0	0	0
SCG2	3	2	5	10	8	12	4	6
AP1S3	322	452	564	741	452	367	624	636
WDFY1	1806	2405	2392	2720	2315	2111	3194	3248
MRPL44	781	898	694	797	863	735	614	767
SERPINE2	145	228	191	216	37	47	82	89
FAM124B	0	0	0	4	0	0	0	0
CUL3	1987	2765	2736	3273	3715	3671	3350	3503
DOCK10	25	42	39	47	42	54	6	4
MIR4439	0	0	0	0	0	0	0	0
NYAP2	47	37	187	271	340	296	752	861
LOC646736	0	0	2	0	2	10	0	5
MIR5702	0	0	0	0	0	0	0	0
IRS1	638	596	526	539	2373	1910	1642	1911
RHBDD1	371	462	480	560	721	626	996	1072
COL4A4	428	457	651	674	460	442	458	601
COL4A3	493	652	879	1091	244	190	669	694
MFF-DT	15	15	13	11	35	26	19	16
MFF	1307	1857	1628	1938	2804	2516	1809	2153
TM4SF20	0	0	0	0	2	0	0	0
MIR5703	0	0	0	0	0	0	0	0
AGFG1	2037	2915	2662	2982	3715	3289	4528	4955
C2orf83	0	0	0	0	0	0	0	0
LOC729968	0	0	0	0	0	0	0	0
SLC19A3	6	0	0	16	14	24	24	19
CCL20	6	2	36	49	12	14	45	31
DAW1	0	0	6	14	2	4	11	10
SPHKAP	0	0	0	0	6	4	6	6
LINC01807	0	0	0	0	0	0	0	0
PID1	30	60	70	60	43	34	109	104
DNER	16	8	0	0	20	12	0	0
TRIP12	7843	10384	8335	9682	10206	9166	7296	7733
FBXO36	72	97	160	132	126	107	155	177
SLC16A14	6	4	30	25	368	319	228	213
SP110	220	261	411	501	524	375	225	260
SP140	2	2	2	3	2	3	1	2
SP140L	0	0	1	0	2	2	0	0
SP100	1221	1586	1749	2223	1035	1037	1029	995
LINC01907	0	0	0	0	0	0	0	0
CAB39	1454	1969	1992	2443	2169	1994	2992	3189
ITM2C	1831	1844	1164	1257	1066	779	530	762
GCSIR	0	0	0	0	0	0	0	0
GPR55	9	14	5	2	0	0	0	0
SPATA3-AS1	2	4	4	2	0	0	0	1
SPATA3	0	0	0	0	0	0	0	0
C2orf72	17	28	0	2	8	4	0	0
PSMD1	4258	5679	6117	7298	5360	4667	3867	4187
HTR2B	5	12	2	6	2	1	0	0
ARMC9	760	930	376	464	398	309	232	289
MIR4777	0	0	0	0	0	0	0	0
B3GNT7	126	105	44	63	10	4	4	6
NCL	47223	63440	36580	45563	17555	14769	16797	19411
SNORA75	8	13	7	5	3	11	11	14
SNORD20	11	9	13	12	3	3	11	5
SNORD82	2	2	0	1	2	3	0	2
LINC00471	131	186	114	114	62	53	46	72
NMUR1	1	2	0	0	0	2	2	2
TEX44	0	0	0	0	2	0	0	0
PTMA	29401	37204	22961	31027	16792	13358	11221	13401
MIR1244-1	0	0	0	0	0	0	0	0
PDE6D	529	835	457	469	499	401	223	301
COPS7B	1852	2243	1010	1216	861	695	632	832
MIR1471	0	0	0	0	0	0	0	0
NPPC	4	2	0	2	0	0	0	2
DIS3L2	596	708	360	385	415	341	321	257
MIR562	0	0	0	0	0	0	0	0
ALPP	2	0	2	0	0	0	0	0
ECEL1P2	0	0	0	0	0	0	0	0
ALPG	0	2	0	0	0	0	0	0
ALPI	0	0	0	0	0	0	2	7
ECEL1	1	0	0	0	0	0	0	1
PRSS56	0	2	0	0	0	0	0	1
CHRND	2	0	0	0	0	0	0	0
CHRNG	4	8	12	3	2	0	5	5
TIGD1	320	443	246	371	467	463	453	478
MIR5001	0	0	0	0	0	0	0	0
EIF4E2	2448	3358	1935	2048	2202	1822	1041	1186
EFHD1	852	1093	418	452	1513	1075	1612	1933
GIGYF2	3751	5176	2845	3390	2666	2104	2818	3312
KCNJ13	1	2	4	0	71	42	14	23
SNORC	41	30	42	37	27	31	30	51
NGEF	135	167	67	56	12	12	53	59
LOC101928881	0	0	0	0	0	0	0	0
NEU2	0	0	0	0	0	0	0	0
INPP5D	0	0	0	0	0	0	0	0
ATG16L1	1465	1936	1091	1186	959	695	881	1124
SCARNA5	1	0	2	6	2	1	2	2
SCARNA6	1	4	4	0	0	0	4	5
SAG	2	0	0	0	0	0	0	0
DGKD	2806	2616	1468	1585	198	145	659	909
USP40	2370	2779	1175	1394	1094	1036	1445	1675
UGT1A8	0	0	0	0	0	0	0	0
UGT1A10	0	0	0	0	0	0	0	0
UGT1A9	0	0	0	0	0	0	0	0
UGT1A7	0	0	0	0	0	0	0	0
UGT1A6	2	0	0	3	2	2	21	32
UGT1A5	0	0	0	0	0	0	0	0
UGT1A4	0	0	0	0	0	0	0	0
UGT1A3	0	0	0	0	0	0	0	0
DNAJB3	0	0	0	0	0	0	0	2
LOC100286922	0	0	0	0	0	0	0	2
UGT1A1	0	0	0	0	2	0	0	0
MROH2A	4	0	1	1	8	2	0	0
HJURP	2947	3731	2698	3119	2006	1620	2482	2717
MSL3P1	720	1015	562	578	939	890	816	916
TRPM8	2	7	8	4	15	10	29	40
SPP2	0	0	0	1	0	0	0	0
LINC01891	0	0	0	0	0	0	0	0
ARL4C	3179	3474	1527	1746	2497	2205	2606	3140
LINC01173	0	0	0	0	0	0	0	1
SH3BP4	8809	10016	2999	3160	4925	4136	2973	3127
AGAP1	1725	2004	1480	1572	2152	1668	1357	1598
AGAP1-IT1	2	17	6	4	0	2	0	2
TNRC17	0	0	0	0	2	4	6	2
GBX2	27	45	3	11	6	10	0	2
ASB18	2	2	1	1	4	2	0	1
IQCA1	535	765	691	888	487	411	504	575
ACKR3	1423	1592	615	666	211	130	190	276
LOC93463	0	0	0	0	0	0	0	0
COPS8	2103	2932	1646	1754	2029	1820	1579	1718
COL6A3	55	94	10	3	0	4	0	0
MLPH	11	9	33	20	40	34	38	39
MIR6811	0	0	0	0	0	0	0	0
PRLH	0	0	0	0	0	0	0	0
RAB17	887	893	472	490	586	321	172	225
LRRFIP1	6151	8250	6425	7674	6334	5575	4132	4586
RBM44	23	36	61	69	30	15	40	15
RAMP1	6	18	19	13	27	22	2	2
UBE2F-SCLY	0	0	2	0	0	0	0	1
UBE2F	307	433	332	384	482	452	317	420
SCLY	1	0	1	0	0	0	0	0
ESPNL	0	0	0	1	0	0	0	0
KLHL30	20	14	2	12	0	0	4	4
ERFE	390	410	230	188	386	223	261	315
ILKAP	507	515	509	552	438	387	322	454
LINC02610	107	59	21	43	28	17	39	38
LOC643387	17	15	19	26	16	10	14	16
HES6	154	158	142	102	49	30	107	125
PER2	65	68	43	66	67	38	144	176
TRAF3IP1	381	499	364	431	399	315	343	374
ASB1	953	1097	655	704	745	570	528	607
LINC01107	0	0	0	0	0	0	0	0
LOC100287387	58	76	28	37	0	0	0	0
TWIST2	99	117	49	65	0	0	0	2
LINC01940	3	6	4	0	0	0	0	0
HDAC4	217	232	149	221	164	138	120	140
MIR4440	0	0	0	0	0	0	0	0
MIR4441	0	0	0	0	0	0	0	0
MGC16025	0	0	0	0	0	2	0	0
MIR4269	0	0	0	0	0	0	0	0
MIR2467	0	0	0	0	0	0	0	0
HDAC4-AS1	6	1	2	1	2	2	0	0
LOC150935	0	0	0	0	0	0	0	0
NDUFA10	2638	3452	2275	2548	2609	2231	1916	2044
MIR4786	3	0	0	2	2	1	1	0
OR6B2	0	0	0	0	0	0	0	0
OR6B3	0	0	0	0	0	0	0	0
COPS9	525	599	236	273	246	239	129	127
OTOS	2	0	0	2	0	0	0	0
GPC1	509	310	33	37	53	25	17	30
LOC100130449	11	10	12	10	2	2	51	54
MIR149	0	0	0	0	0	0	0	0
ANKMY1	145	176	125	189	28	27	42	41
DUSP28	116	162	105	110	131	101	103	78
RNPEPL1	891	640	312	249	114	69	49	59
CAPN10-DT	110	124	98	161	93	54	88	81
CAPN10	308	224	89	52	58	30	26	45
GPR35	7	10	10	20	8	5	3	4
AQP12B	0	0	0	0	0	0	0	0
LOC285191	0	0	0	0	0	0	0	0
AQP12A	0	0	0	0	0	0	0	0
KIF1A	13685	12248	7653	7850	1572	1008	2641	3264
AGXT	0	0	0	0	0	0	0	0
MAB21L4	285	245	182	214	281	197	70	82
CROCC2	1	0	0	0	0	0	1	0
LOC200772	0	0	0	0	0	0	0	0
SNED1	126	121	21	41	90	87	22	19
MTERF4	455	622	472	570	500	461	253	299
PASK	474	507	419	533	223	178	163	193
PPP1R7	1554	2026	1751	1945	1164	998	894	1023
ANO7	87	85	36	20	34	20	10	9
HDLBP	16960	20526	16274	17957	17546	13379	11562	13175
SEPTIN2	11103	15034	14076	17005	19033	16947	14135	15965
FARP2	286	373	296	330	225	158	182	204
MIR3133	0	0	0	0	0	0	0	0
STK25	2551	2323	1107	1111	770	462	367	545
BOK-AS1	3	0	0	0	4	0	0	3
BOK	1177	934	342	301	339	225	129	177
THAP4	1256	1070	683	648	251	155	250	236
ATG4B	1328	1399	828	1001	730	527	503	629
DTYMK	1464	1268	679	609	293	245	248	354
ING5	724	788	509	609	359	332	369	532
D2HGDH	353	274	112	95	41	26	13	21
GAL3ST2	2	3	6	2	0	0	2	1
NEU4	0	0	0	0	0	0	0	0
PDCD1	0	0	0	0	0	0	0	0
RTP5	0	0	0	0	0	0	0	0
LINC01237	14	15	3	3	0	0	0	0
LOC285095	4	0	0	2	0	0	0	0
LINC01238	34	60	14	24	4	5	7	13
LOC285097	3	6	0	0	0	0	0	0
LINC01880	0	0	0	0	0	0	2	1
LINC01881	13	20	21	34	28	24	79	63
LINC01986	0	0	0	0	0	0	0	0
CHL1-AS2	0	0	0	0	0	0	0	0
CHL1	0	0	0	0	4	5	4	2
CHL1-AS1	0	0	0	0	0	0	0	0
LINC01266	0	0	0	0	0	0	0	0
CNTN6	4	2	6	0	4	2	0	4
CNTN4	402	521	364	370	1032	951	1483	1621
CNTN4-AS2	0	2	0	0	6	2	4	1
CNTN4-AS1	1	0	0	1	2	4	4	4
IL5RA	0	0	0	0	2	0	0	0
TRNT1	1425	1955	1352	1580	1557	1414	2105	2363
CRBN	729	1016	470	527	1165	993	871	1008
LOC100130207	7	5	2	0	0	0	3	2
LRRN1	1461	1971	1456	1664	31143	26821	3785	4205
SETMAR	367	535	298	344	442	403	317	387
SUMF1	1593	1948	805	929	1946	1633	727	925
ITPR1-DT	18	19	12	2	25	12	15	26
ITPR1	263	347	183	247	388	306	301	344
EGOT	7	18	6	2	2	2	10	10
BHLHE40-AS1	29	23	34	23	12	7	33	42
BHLHE40	1293	1659	858	978	1243	877	1558	1829
ARL8B	2236	3147	1830	2327	4658	4506	4816	5035
EDEM1	1531	2032	1525	1757	2402	2082	2749	3053
MIR4790	0	0	0	0	0	0	0	0
GRM7-AS3	0	0	0	0	0	0	0	0
GRM7	3	4	0	0	0	19	2	2
GRM7-AS2	0	0	0	0	2	0	0	0
GRM7-AS1	2	9	9	5	10	2	2	1
LOC101927394	10	14	13	10	24	12	25	18
LMCD1-AS1	38	61	35	30	58	40	33	48
LMCD1	3946	4432	1908	1981	7491	5869	3863	4570
LINC00312	0	0	0	0	0	0	0	0
SSUH2	32	46	24	37	95	82	146	205
CAV3	0	2	4	2	4	0	4	0
OXTR	1402	1767	956	1161	7068	6435	3400	3759
RAD18	1761	2329	1354	1532	1446	1447	1998	2163
SRGAP3	158	213	148	191	513	477	123	125
SRGAP3-AS2	0	1	0	0	0	2	0	0
SRGAP3-AS3	2	0	0	0	0	0	0	0
SRGAP3-AS4	0	1	0	0	0	0	0	0
THUMPD3	1457	2010	1470	1582	2075	1738	1811	1913
THUMPD3-AS1	716	899	407	475	653	588	677	778
SETD5	5264	7009	4309	5143	7600	5993	8710	10150
LHFPL4	0	4	0	0	0	2	0	0
MTMR14	971	1121	571	584	1017	741	545	695
CPNE9	1	2	0	0	0	0	0	0
BRPF1	1267	1355	527	517	551	431	562	682
OGG1	861	967	245	330	381	239	195	272
CAMK1	42	68	62	52	35	20	37	48
TADA3	2983	3086	1364	1240	981	653	596	779
ARPC4	3626	4158	1834	1885	2127	1617	1202	1495
ARPC4-TTLL3	0	0	0	0	0	0	0	0
TTLL3	57	61	12	9	57	21	23	24
RPUSD3	833	862	397	381	282	139	172	222
CIDEC	0	0	0	0	0	0	0	0
JAGN1	1004	1269	769	786	1433	1091	969	1117
IL17RE	67	42	52	57	12	8	44	47
IL17RC	469	484	154	202	225	117	115	188
CRELD1	739	692	373	357	584	473	361	483
PRRT3	66	70	18	37	58	52	15	15
PRRT3-AS1	100	147	87	86	41	26	24	27
EMC3	1383	1727	936	999	1691	1354	994	1217
EMC3-AS1	510	643	184	225	395	258	255	357
CIDECP1	220	275	148	181	205	126	208	241
FANCD2	2237	2964	1888	2111	2473	2241	2643	2980
FANCD2OS	0	0	0	0	2	0	0	1
BRK1	5035	6586	3646	3980	6224	4884	3361	3794
VHL	2005	2505	1748	2288	2008	1640	3212	3526
IRAK2	401	497	414	510	187	120	345	430
TATDN2	2215	2910	1514	1730	1475	1187	1103	1337
MIR12127	0	0	0	0	0	0	0	0
GHRLOS	24	47	13	23	28	18	10	17
LINC00852	19	21	8	6	10	22	4	8
GHRL	0	1	5	0	2	0	0	0
SEC13	3827	4189	1961	2223	2394	1791	1757	2127
ATP2B2	4	2	2	1	3	0	0	0
MIR378B	0	0	0	0	0	0	0	0
MIR885	0	0	0	0	0	0	0	0
ATP2B2-IT2	0	0	0	0	0	0	0	0
LINC00606	0	0	0	0	0	0	0	0
SLC6A11	144	194	22	28	2	0	26	37
SLC6A1	0	0	0	0	0	0	0	0
SLC6A1-AS1	0	0	0	0	0	0	0	0
HRH1	276	329	105	94	97	56	65	74
ATG7	728	898	428	474	542	398	450	569
VGLL4	1210	1402	536	582	1496	1241	860	967
TAMM41	377	469	383	343	346	285	427	440
SYN2	43	73	40	49	15	11	9	16
TIMP4	0	0	5	5	0	0	0	0
PPARG	54	60	160	197	78	49	186	221
TSEN2	726	907	604	678	410	362	519	669
MKRN2OS	80	119	42	52	83	78	21	28
MKRN2	1196	1505	596	763	1492	1398	1736	1901
RAF1	3766	4874	3153	3495	3990	3069	2653	3174
TMEM40	8	3	5	2	4	2	2	2
CAND2	25	20	40	33	21	10	13	15
RPL32	35589	45561	25091	28541	16173	11554	8685	10554
SNORA7A	0	0	0	0	0	0	0	0
LINC02022	0	2	0	0	0	0	0	0
IQSEC1	1415	1608	731	827	478	340	391	503
NUP210	7549	7809	4878	5102	1671	1198	1499	1762
HDAC11-AS1	5	5	2	0	0	0	0	0
HDAC11	589	546	235	225	163	123	112	170
FBLN2	45	51	18	26	24	11	14	21
SNORA93	0	0	0	0	0	0	0	0
LINC00620	4	2	4	4	0	0	0	0
WNT7A	3286	3105	1607	1726	175	147	75	99
FGD5P1	2	2	0	0	0	0	0	0
TPRXL	2	2	0	0	0	0	0	0
CHCHD4	970	1324	962	1073	436	400	549	632
TMEM43	3579	4183	2959	3210	1022	882	733	891
XPC	1220	1566	1057	1234	749	635	648	825
LSM3	2686	3902	2391	2716	2263	1920	1011	1051
LINC01267	0	0	0	0	2	0	0	0
SLC6A6	679	895	422	437	2411	1862	397	459
GRIP2	1	3	0	0	4	0	0	0
CCDC174	678	1021	597	737	416	345	519	594
C3orf20	9	12	2	5	14	6	1	2
LINC02011	0	0	0	0	0	0	0	0
FGD5	16	32	0	2	0	0	0	0
FGD5-AS1	5557	7113	4106	4641	3552	3253	2429	2633
NR2C2	3574	4583	2154	2579	2133	1720	1803	1937
MRPS25	2960	3367	1628	2020	703	618	692	826
RBSN	1649	2032	1293	1510	981	865	1168	1248
COL6A4P1	20	20	9	23	2	1	0	0
CAPN7	1679	2475	1666	1880	1704	1633	1785	1931
SH3BP5-AS1	142	170	86	118	149	102	67	70
SH3BP5	176	202	100	108	55	52	52	64
METTL6	701	949	639	750	480	453	553	581
EAF1	1741	2300	1842	1874	1230	1050	1473	1728
COLQ	19	25	27	33	50	35	15	11
MIR4270	0	0	0	0	0	0	0	0
HACL1	1012	1294	1156	1373	645	675	978	1021
BTD	538	811	412	509	414	277	137	165
ANKRD28	3378	4589	3702	4406	3049	2558	3423	3557
MIR3134	0	0	0	0	3	0	0	2
MIR563	3	2	1	3	1	4	4	1
GALNT15	0	0	0	4	0	2	8	7
DPH3	1208	1652	1062	1156	1035	960	950	1053
OXNAD1	793	1067	880	990	627	491	691	741
RFTN1	1163	1386	862	938	95	78	105	153
LINC00690	0	0	0	0	0	0	0	0
DAZL	0	0	0	0	0	0	0	0
PLCL2	94	137	131	118	219	230	65	63
MIR3714	0	0	0	0	0	0	0	0
TBC1D5	5660	7468	4264	4633	2256	2081	2547	2846
LOC105376975	1	4	1	0	2	0	1	0
LOC339862	0	0	0	0	0	0	0	0
SATB1	728	924	556	759	924	735	628	739
SATB1-AS1	0	1	0	0	0	0	0	0
KCNH8	28	44	21	27	46	10	25	31
MIR4791	0	0	0	0	0	0	0	0
EFHB	2	4	7	4	14	5	0	2
RAB5A	1897	2464	2651	3087	2349	2188	2803	2735
PP2D1	11	8	7	20	10	10	10	21
KAT2B	259	343	236	249	1015	897	730	769
MIR3135A	0	0	0	0	0	0	0	0
SGO1	505	700	770	870	566	512	788	838
SGO1-AS1	0	0	0	1	2	0	2	0
LOC101927829	0	0	0	0	0	0	0	0
VENTXP7	0	0	0	0	0	0	0	0
ZNF385D	0	0	4	0	0	0	0	0
ZNF385D-AS1	0	0	0	0	0	0	0	0
ZNF385D-AS2	0	0	0	0	0	0	0	0
UBE2E2-AS1	0	1	0	2	0	0	0	4
UBE2E2	1148	1345	1596	2148	1242	1074	1601	1882
UBE2E1-AS1	1	5	5	3	4	7	0	0
UBE2E1	4826	6483	5971	7652	3607	3015	4200	4660
NKIRAS1	319	384	392	514	520	457	390	459
RPL15	26866	31375	22973	25242	18494	13997	9898	11915
NR1D2	1218	1566	1636	2152	1814	1543	2348	2425
LINC00691	0	0	0	3	0	0	0	0
THRB	855	1056	1504	1827	820	648	2590	2739
LOC101927854	3	4	1	4	0	0	7	3
THRB-AS1	5	0	8	4	4	0	5	9
RARB	6	10	5	0	11	6	10	8
RARB-AS1	0	0	0	0	0	0	0	0
TOP2B	5024	6816	8077	9546	7544	7160	9186	10277
MIR4442	22	14	9	16	7	0	2	1
NGLY1	942	1216	1666	1843	1184	1073	1706	1763
OXSM	390	457	527	629	661	592	546	608
LINC00692	0	0	0	0	0	0	0	0
LRRC3B	0	0	0	2	0	0	0	0
NEK10	12	10	10	5	26	22	7	8
SLC4A7	947	1459	2242	2891	2032	1850	4201	4507
EOMES	14	12	6	11	34	41	30	17
LINC01980	0	0	0	1	1	2	0	0
LINC01981	0	0	0	0	0	0	2	2
CMC1	391	540	447	517	444	482	448	523
AZI2	520	781	722	839	1090	1058	1153	1348
ZCWPW2	22	11	6	30	40	23	48	48
LINC00693	6	3	7	1	0	2	3	0
RBMS3-AS3	34	37	53	62	21	17	62	75
RBMS3	380	545	606	680	508	496	1644	1810
RBMS3-AS1	0	0	0	0	0	1	3	1
LINC01985	1	2	2	4	5	7	0	3
TGFBR2	3847	4899	6285	7082	8362	7175	8232	8672
GADL1	0	3	9	12	396	315	72	82
MIR466	0	0	0	0	0	0	0	0
STT3B	5563	7500	7548	9400	13200	12294	12861	14005
OSBPL10	3451	4343	2383	2922	4896	4080	3868	4363
OSBPL10-AS1	0	0	0	2	1	0	0	0
ZNF860	416	586	284	315	449	339	175	212
GPD1L	1027	1374	1125	1246	1088	1100	1042	1299
CMTM8	154	152	190	248	188	143	247	385
CMTM7	3915	4540	3651	3882	1743	1481	1095	1440
CMTM6	5083	6813	7213	9222	13138	11831	9736	10594
MIR548AY	0	0	0	0	0	0	0	0
DYNC1LI1	1936	2578	2677	3198	2254	2105	2868	2971
CNOT10	1134	1503	1803	2057	1756	1514	2251	2388
TRIM71	2	2	2	5	16	21	0	0
CCR4	0	0	0	0	2	0	0	0
GLB1	2484	3220	3411	4041	3844	2984	3703	3959
TMPPE	125	205	198	219	165	133	73	78
CRTAP	5102	6880	5801	6485	7036	5770	5008	5600
SUSD5	497	617	355	386	370	298	146	175
FBXL2	361	461	339	363	355	303	246	295
UBP1	3515	4541	4245	4957	3243	2826	3054	3469
CLASP2	1494	1850	1855	2207	2577	2284	2401	2690
PDCD6IP	4800	5686	5091	6187	5731	4995	5073	5601
LOC101928135	0	0	0	0	0	0	0	0
ARPP21	0	4	0	1	1	0	0	3
MIR128-2	0	0	0	0	0	0	0	0
STAC	407	492	559	659	21	17	235	264
DCLK3	2	0	2	2	8	8	4	4
LINC02033	0	0	0	0	0	0	0	0
TRANK1	232	307	274	277	467	330	222	229
EPM2AIP1	1300	1755	1543	1831	3790	3493	2811	2823
MLH1	1683	2374	2213	2592	2198	1879	2197	2498
LRRFIP2	950	1396	1710	2056	2124	1892	2648	2825
LOC152048	31	51	47	42	35	45	52	74
GOLGA4	2932	4064	5716	6815	5767	5269	9307	10347
C3orf35	0	4	2	8	5	3	11	8
ITGA9	54	45	16	17	911	716	8	24
ITGA9-AS1	15	20	27	18	12	17	18	23
CTDSPL	3951	5210	2478	2877	4120	3466	3294	3487
MIR26A1	0	0	0	0	0	0	0	0
VILL	101	77	84	74	4	1	27	12
PLCD1	184	170	52	54	47	29	27	57
DLEC1	30	20	8	19	12	11	6	7
ACAA1	1114	1329	770	853	471	327	295	342
MYD88	1783	2242	1905	2207	922	671	999	1023
OXSR1	3206	4491	4540	5504	4155	3913	5395	5862
SLC22A13	2	2	6	5	7	0	2	2
SLC22A14	0	0	1	0	0	0	0	0
XYLB	157	147	136	177	49	52	32	25
ACVR2B-AS1	64	96	45	60	62	50	56	53
ACVR2B	216	329	291	334	527	484	536	553
EXOG	268	331	363	475	432	372	359	440
SCN5A	142	148	27	22	52	29	19	7
SCN10A	0	0	0	0	0	0	0	0
SCN11A	15	24	7	18	2	4	12	12
WDR48	1348	1915	1492	1939	2719	2485	2357	2545
GORASP1	1391	1620	1460	1634	1175	915	1128	1359
TTC21A	46	76	115	112	98	60	113	114
MIR6822	0	0	0	0	0	0	0	0
CSRNP1	192	257	184	169	239	163	243	374
XIRP1	0	0	0	5	1	0	1	4
CX3CR1	6	4	10	4	6	0	0	2
CCR8	0	0	0	0	0	0	0	0
SLC25A38	1074	1406	1206	1434	1249	926	1197	1433
RPSA	23610	30908	26644	29323	21147	16164	12729	14918
SNORA6	48	60	48	59	29	37	29	47
SNORA62	17	33	40	44	22	25	17	30
MOBP	0	3	0	0	3	9	0	8
MYRIP	67	109	76	62	348	267	165	257
EIF1B-AS1	18	23	29	20	27	15	32	35
EIF1B	673	854	1006	1243	1319	1199	2040	2261
ENTPD3	10	7	59	82	706	547	267	272
ENTPD3-AS1	43	58	41	61	29	36	33	54
RPL14	22119	29836	21455	24635	20477	14927	12647	15246
ZNF619	287	451	358	476	332	340	317	425
ZNF620	139	160	183	192	268	277	229	241
ZNF621	1544	2238	1809	2044	2427	2208	2805	3098
CTNNB1	10119	13164	12404	13684	22528	19221	12916	14689
ULK4	121	148	174	223	1214	1105	981	1109
TRAK1	1374	1571	1404	1686	5560	4452	2748	3230
CCK	2	2	0	3	0	0	0	0
LYZL4	0	0	0	0	0	0	0	0
VIPR1	41	46	21	20	39	56	4	18
VIPR1-AS1	0	1	1	0	2	0	0	2
SEC22C	1115	1452	1557	1928	2174	1809	1359	1677
SS18L2	563	703	685	750	717	532	681	627
NKTR	3707	5072	5318	6316	6924	6227	7269	8256
LOC101928323	14	19	26	35	17	14	25	26
ZBTB47	429	399	363	272	375	256	151	197
KLHL40	0	0	0	0	0	0	0	0
HHATL	0	0	0	0	0	0	0	0
HHATL-AS1	0	0	0	0	0	0	0	0
CCDC13	6	6	11	15	10	13	9	17
CCDC13-AS1	0	0	0	2	1	0	0	0
LINC02158	0	0	0	0	3	0	0	2
HIGD1A	3166	4405	4795	5972	8811	7777	4512	4975
ACKR2	14	15	81	85	407	276	927	976
CYP8B1	1	2	10	0	79	80	186	221
ZNF662	120	182	369	491	926	760	389	467
KRBOX1-AS1	0	0	1	4	3	0	0	2
KRBOX1	198	288	905	1036	419	358	264	360
GASK1A	39	48	88	136	68	89	115	148
POMGNT2	720	649	378	422	329	210	115	144
SNRK	230	297	231	344	564	406	388	440
SNRK-AS1	0	6	4	1	12	11	6	3
ANO10	774	1020	845	917	1317	1136	1053	1112
ABHD5	898	1130	1265	1478	1978	1721	1932	2211
MIR138-1	1	0	1	1	0	0	0	0
TOPAZ1	0	0	0	2	0	0	0	0
TCAIM	637	910	1043	1213	1069	932	1278	1353
C3orf86	0	0	0	0	0	0	0	0
LINC01988	0	0	0	0	0	0	0	0
ZNF445	1375	1877	1238	1432	2104	1720	1266	1495
ZNF852	141	207	109	121	165	163	129	146
ZKSCAN7	21	28	69	69	105	87	78	56
ZKSCAN7-AS1	5	6	5	4	15	14	5	7
ZNF660-ZNF197	0	0	0	0	0	0	0	0
ZNF660	2	0	46	57	8	14	12	14
ZNF197-AS1	6	3	2	7	10	6	8	3
ZNF197	3	3	0	2	0	1	0	0
ZNF35	334	494	332	413	646	538	412	528
ZNF502	236	320	266	249	711	652	354	385
ZNF501	137	172	205	258	291	209	169	186
KIAA1143	1000	1353	1131	1354	2129	1758	1078	1208
KIF15	1347	1781	1867	2197	1585	1412	1947	2282
MIR564	0	0	0	0	0	0	0	0
TMEM42	254	309	492	518	389	339	441	480
TGM4	99	149	126	182	86	41	58	31
ZDHHC3	2874	3646	3171	3711	4786	3801	2306	2693
EXOSC7	1097	1354	1506	1671	945	732	926	1096
CLEC3B	2	2	2	1	4	0	0	2
